"X","Y"
-52.0807961,-32.0461149
-52.0807961,-32.0461149
-52.0822468,-32.0473949
-52.0818271,-32.0458448
-52.0818271,-32.0458448
-52.0849196,-32.0377566
-52.0959375,-32.0406868
-52.0905751,-32.0414212
-52.0772623,-32.0401379
-52.0845499,-32.0365048
-52.0855953,-32.036499
-52.0835638,-32.0471153
-52.0831391,-32.0455442
-52.0831391,-32.0455442
-52.0811237,-32.0418253
-52.0814033,-32.044611
-52.0779298,-32.0435924
-52.079806,-32.0454027
-52.0795915,-32.045027
-52.0842505,-32.0469777
-52.0838373,-32.0453723
-52.0846628,-32.0484851
-52.0957538,-32.0413547
-52.0831258,-32.0480649
-52.0829254,-32.047254
-52.0825122,-32.0456837
-52.0833176,-32.0487452
-52.0796552,-32.0333823
-52.0831342,-32.0359662
-52.0844103,-32.0357375
-52.0844103,-32.0357375
-52.0871924,-32.0364219
-52.087359,-32.0348622
-52.086821,-32.0364322
-52.0866042,-32.0386108
-52.0780519,-32.0419944
-52.0865445,-32.0420473
-52.0865445,-32.0420473
-52.0837934,-32.0358376
-52.0839887,-32.0366107
-52.0815531,-32.0414934
-52.0855953,-32.036499
-52.0855567,-32.0362542
-52.0857269,-32.0375943
-52.0801951,-32.0417271
-52.0801951,-32.0417271
-52.0856532,-32.0424729
-52.0846616,-32.0313565
-52.079806,-32.0454027
-52.0779298,-32.0435924
-52.0781208,-32.0430178
-52.0863719,-32.0415773
-52.0860353,-32.0424197
-52.0807637,-32.0477
-52.0801705,-32.0462652
-52.079806,-32.0454027
-52.0776539,-32.042987
-52.0781208,-32.0430178
-52.0967462,-32.0295089
-52.0846616,-32.0313565
-52.0867877,-32.0315484
-52.0882731,-32.0316788
-52.0787663,-32.0431415
-52.0794627,-32.0431002
-52.0781208,-32.0430178
-52.0802955,-32.0430786
-52.0781208,-32.0430178
-52.0781208,-32.0430178
-52.0810994,-32.0431128
-52.0810994,-32.0431128
-52.080944,-32.033529
-52.080944,-32.033529
-52.0860559,-32.038711
-52.080562,-32.0417581
-52.0803212,-32.040627
-52.0784166,-32.0497149
-52.0813718,-32.0491476
-52.0833176,-32.0487452
-52.0839986,-32.0486068
-52.0846628,-32.0484851
-52.0784166,-32.0497149
-52.0811592,-32.0373951
-52.0811404,-32.0411732
-52.0805088,-32.041137
-52.081752,-32.0414695
-52.0764189,-32.0426551
-52.0772623,-32.0401379
-52.0755787,-32.0451832
-52.0841149,-32.0365867
-52.0833185,-32.0367479
-52.0848692,-32.0364436
-52.0845499,-32.0365048
-52.0845499,-32.0365048
-52.0855679,-32.036311
-52.0839887,-32.0366107
-52.0845499,-32.0365048
-52.0855679,-32.036311
-52.0818729,-32.0370121
-52.0816429,-32.0362193
-52.0815716,-32.0361638
-52.1094792,-32.0468291
-52.1093398,-32.0484486
-52.1091762,-32.0468459
-52.1085675,-32.0466984
-52.1122205,-32.0463849
-52.111736,-32.0470708
-52.1126993,-32.0475574
-52.1122205,-32.0463849
-52.1131754,-32.0468777
-52.1126993,-32.0475574
-52.1122232,-32.0482327
-52.1093398,-32.0484486
-52.1088,-32.0481645
-52.1676919,-32.0939119
-52.1823427,-32.0852495
-52.1641544,-32.0579262
-52.1919566,-32.0779234
-52.1868046,-32.0833889
-52.1563159,-32.0517952
-52.1561971,-32.0675153
-52.1551108,-32.0590652
-52.1569785,-32.0553794
-52.154179,-32.0608624
-52.1573029,-32.0598003
-52.1591625,-32.0561838
-52.1565664,-32.06141
-52.1561676,-32.0594171
-52.1580688,-32.0557889
-52.1552999,-32.0611167
-52.1897676,-32.0804535
